43 0.750491 5 8317.13
43.25 0.754854 1 41439.7
43.5 0.759218 1 41289.7
43.75 0.763581 5 8227.12
44 0.767944 1 40977.4
44.25 0.772308 0 0
44.5 0.776671 1 40649.1
44.75 0.781034 1 40479.1
45 0.785397 0 0
45.25 0.789761 0 0
45.5 0.794124 0 0
45.75 0.798487 0 0
46 0.802851 0 0
46.25 0.807214 0 0
46.5 0.811577 0 0
46.75 0.815941 1 38982.6
47 0.820304 0 0
47.25 0.824667 0 0
47.5 0.829031 0 0
47.75 0.833394 0 0
48 0.837757 0 0
48.25 0.842121 0 0
48.5 0.846484 0 0
48.75 0.850847 0 0
49 0.855211 0 0
49.25 0.859574 0 0
49.5 0.863937 0 0
49.75 0.868301 0 0
50 0.872664 0 0
50.25 0.877027 0 0
50.5 0.881391 0 0
50.75 0.885754 0 0
51 0.890117 0 0
51.25 0.89448 0 0
51.5 0.898844 0 0
51.75 0.903207 0 0
52 0.90757 0 0
52.25 0.911934 0 0
52.5 0.916297 0 0
52.75 0.92066 0 0
53 0.925024 0 0
53.25 0.929387 0 0
53.5 0.93375 0 0
53.75 0.938114 0 0
54 0.942477 0 0
54.25 0.94684 0 0
54.5 0.951204 0 0
54.75 0.955567 0 0
55 0.95993 0 0
55.25 0.964294 0 0
55.5 0.968657 0 0
55.75 0.97302 0 0
56 0.977384 0 0
56.25 0.981747 0 0
56.5 0.98611 0 0
56.75 0.990474 0 0
57 0.994837 0 0
57.25 0.9992 0 0
57.5 1.00356 0 0
57.75 1.00793 0 0
58 1.01229 0 0
58.25 1.01665 0 0
58.5 1.02102 0 0
58.75 1.02538 0 0
59 1.02974 0 0
59.25 1.03411 0 0
59.5 1.03847 0 0
59.75 1.04283 0 0
60 1.0472 0 0
60.25 1.05156 0 0
60.5 1.05592 0 0
60.75 1.06029 0 0
61 1.06465 0 0
61.25 1.06901 0 0
61.5 1.07338 0 0
61.75 1.07774 0 0
62 1.0821 0 0
62.25 1.08647 0 0
62.5 1.09083 0 0
62.75 1.09519 0 0
63 1.09956 0 0
63.25 1.10392 0 0
63.5 1.10828 0 0
63.75 1.11265 0 0
64 1.11701 0 0
64.25 1.12137 0 0
64.5 1.12574 0 0
64.75 1.1301 0 0
65 1.13446 0 0
65.25 1.13883 0 0
65.5 1.14319 0 0
65.75 1.14755 0 0
66 1.15192 0 0
66.25 1.15628 0 0
66.5 1.16064 0 0
66.75 1.16501 0 0
67 1.16937 0 0
67.25 1.17373 0 0
67.5 1.1781 0 0
67.75 1.18246 0 0
68 1.18682 0 0
68.25 1.19119 0 0
68.5 1.19555 0 0
68.75 1.19991 0 0
69 1.20428 0 0
69.25 1.20864 0 0
69.5 1.213 0 0
69.75 1.21737 0 0
70 1.22173 0 0
70.25 1.22609 0 0
70.5 1.23046 0 0
70.75 1.23482 0 0
71 1.23918 0 0
71.25 1.24355 0 0
71.5 1.24791 0 0
71.75 1.25227 0 0
72 1.25664 0 0
72.25 1.261 0 0
72.5 1.26536 0 0
72.75 1.26973 0 0
73 1.27409 0 0
73.25 1.27845 0 0
73.5 1.28282 0 0
73.75 1.28718 0 0
74 1.29154 0 0
74.25 1.29591 0 0
74.5 1.30027 0 0
